A,B,C,D,E,F,G,H,I,J,K
27, -56969.78515625, -2539.046142578125, -1762.0101318359375, 698.8495483398438, -18743.142578125, -3667.98779296875, -688.1878051757812, -55212.53515625, , 1714826857861.467
28, -56958.51953125, -2890.080322265625, -2038.4117431640625, 655.5318603515625, -18734.4921875, -2609.2529296875, -483.2669982910156, -55182.359375, , 1714826857865.559
29, -56952.21484375, -3367.4462890625, -2458.44580078125, 605.240478515625, -18726.3125, -2098.4931640625, -467.7772521972656, -55189.734375, , 1714826857869.253
30, -56976.82421875, -3132.08251953125, -2292.551025390625, 634.0071411132812, -18754.609375, -3086.68603515625, -692.74755859375, -55237.48046875, , 1714826857873.337
31, -56991.7109375, -2587.124755859375, -1827.6572265625, 680.8117065429688, -18775.6640625, -3808.33447265625, -755.7794189453125, -55237.2109375, , 1714826857876.973
0, -56973.5390625, -2718.68701171875, -1923.4791259765625, 669.2781982421875, -18748.373046875, -2964.17626953125, -548.2435302734375, -55192.88671875, , 1714826857881.308
1, -56955.76953125, -3264.5166015625, -2409.897705078125, 609.934326171875, -18729.330078125, -2077.63916015625, -441.022216796875, -55181.2890625, , 1714826857884.985
2, -56970.92578125, -3227.43505859375, -2400.107666015625, 576.0714111328125, -18745.892578125, -2712.71923828125, -611.9459838867188, -55227.01953125, , 1714826857889.34
3, -56991.578125, -2625.413330078125, -1909.3975830078125, 654.861328125, -18765.13671875, -3742.419189453125, -759.2662963867188, -55243.58203125, , 1714826857892.958
4, -56988.6953125, -2552.18896484375, -1834.094482421875, 657.2753295898438, -18760.509765625, -3269.679931640625, -614.829345703125, -55209.44921875, , 1714826857896.635
5, -56968.77734375, -3070.1904296875, -2300.59765625, 629.9168090820312, -18739.521484375, -2187.810791015625, -451.8851623535156, -55192.3515625, , 1714826857900.81
6, -56971.2578125, -3235.41455078125, -2481.1103515625, 592.0305786132812, -18754.67578125, -2441.681884765625, -574.99853515625, -55229.296875, , 1714826857904.519
7, -56993.453125, -2711.243896484375, -2048.067626953125, 627.6369018554688, -18783.375, -3594.22705078125, -772.2750244140625, -55268.19140625, , 1714826857908.598
8, -56982.7265625, -2411.64111328125, -1808.6805419921875, 729.7620239257812, -18770.568359375, -3591.813232421875, -702.0682373046875, -55235.53515625, , 1714826857912.231
